Loại chi phí,TK Nợ,TK Có,Mã đối tượng,Bộ phận,Ghi chú,Tên MISA
Chi phí SP đồ uống,,,,,,
Chi phí SP đồ ăn,,,,,,
Chi phí vật dụng,,,,,,
Chi phí NVL đồ uống,,,,,,
Chi phí NVL đồ ăn,,,,,,
Chi phí NVL đồ ăn - Mua lẻ,,,,,,
Chi phí NVL đồ uống - Mua lẻ,,,,,,
Chi phí cơ sở,,,,,,
Chi phí marketing,,,,,,
Chi phí nuôi thú,,,,,,
Chi phí phát sinh,,,,,,
Chi phí hoạt náo,,,,,,
Chi phí tháo dỡ,,,,,,
Chi phí setup,,,,,,
Chi phí khác,,,,,,
Tháo dỡ,,,,Kỹ thuật,,Chi phí tháo dỡ
Setup lắp đặt,,,,Kỹ thuật,,Chi phí setup
Vận hành,,,,Kỹ thuật,,Chi phí khác
Marketing,,,,Marketing,,
Công tác,141,,,Công tác,,Chi phí khác
