Nhóm mặt hàng,Phân loại lớn,TK Nợ
Chi phí NVL đồ ăn - Mua lẻ,EVENT GHOST MN,6329
Chi phí NVL đồ ăn - Mua lẻ,EVENT SNOW MN,6329
Chi phí NVL đồ ăn - Mua lẻ,EVENT VR MN,6329
Chi phí NVL đồ ăn - Mua lẻ,FARM MN,6326
Chi phí NVL đồ ăn - Mua lẻ,FZ MN,6322
Chi phí NVL đồ ăn - Mua lẻ,TUTU MN,6320
Chi phí NVL đồ uống - Mua lẻ,EVENT GHOST MN,6329
Chi phí NVL đồ uống - Mua lẻ,EVENT SNOW MN,6329
Chi phí NVL đồ uống - Mua lẻ,EVENT VR MN,6329
Chi phí NVL đồ uống - Mua lẻ,FARM MN,6326
Chi phí NVL đồ uống - Mua lẻ,FZ MN,6322
Chi phí NVL đồ uống - Mua lẻ,TUTU MN,6320
Chi phí cơ sở,EVENT GHOST MN,64196
Chi phí cơ sở,EVENT SNOW MN,64196
Chi phí cơ sở,EVENT VR MN,64196
Chi phí cơ sở,FARM MN,64166
Chi phí cơ sở,FZ MN,64126
Chi phí cơ sở,TUTU MN,64106
Chi phí marketing,EVENT GHOST MN,64196
Chi phí marketing,EVENT SNOW MN,64196
Chi phí marketing,EVENT VR MN,64196
Chi phí marketing,FARM MN,64166
Chi phí marketing,FZ MN,64126
Chi phí marketing,TUTU MN,64106
Chi phí nuôi thú,FARM MN,64168
Chi phí hoạt náo,EVENT GHOST MN,64196
Chi phí hoạt náo,EVENT SNOW MN,64196
Chi phí hoạt náo,EVENT VR MN,64196
Chi phí hoạt náo,FARM MN,64166
Chi phí hoạt náo,FZ MN,64126
Chi phí hoạt náo,TUTU MN,64106
Chi phí tháo dỡ,EVENT GHOST MN,64125
Chi phí tháo dỡ,EVENT SNOW MN,64125
Chi phí tháo dỡ,EVENT VR MN,64125
Chi phí tháo dỡ,FARM MN,64125
Chi phí tháo dỡ,FZ MN,64125
Chi phí tháo dỡ,TUTU MN,64125
Tháo dỡ,EVENT GHOST MN,64125
Tháo dỡ,EVENT SNOW MN,64125
Tháo dỡ,EVENT VR MN,64125
Tháo dỡ,FARM MN,64125
Tháo dỡ,FZ MN,64125
Tháo dỡ,TUTU MN,64125
Setup lắp đặt,EVENT GHOST MN,64125
Setup lắp đặt,EVENT SNOW MN,64125
Setup lắp đặt,EVENT VR MN,64125
Setup lắp đặt,FARM MN,64125
Setup lắp đặt,FZ MN,64125
Setup lắp đặt,TUTU MN,64125
